# Time-averaged data for fix react_f
# TimeStep f_wallbot[1] f_walltop[1]
22700 -1142.03 1142.03
22800 -178.493 178.493
22900 655.722 -655.722
23000 1358.86 -1358.86
23100 1930.26 -1930.26
23200 2369.71 -2369.71
23300 2678.55 -2678.55
23400 2859.44 -2859.44
23500 2916.11 -2916.11
23600 2853.36 -2853.36
23700 2681.62 -2681.62
23800 2404.35 -2404.35
23900 2026.83 -2026.83
24000 1564.84 -1564.84
24100 1032.32 -1032.32
24200 445.771 -445.771
24300 -175.718 175.718
24400 -810.685 810.685
24500 -1435.8 1435.8
24600 -2026.63 2026.63
24700 -2559.69 2559.69
24800 -3015.92 3015.92
24900 -3375.93 3375.93
25000 -3622.92 3622.92
25100 -3749.64 3749.64
25200 -3740.61 3740.61
25300 -3602.66 3602.66
25400 -3331.13 3331.13
25500 -2939.05 2939.05
25600 -2439.69 2439.69
25700 -1849.72 1849.72
25800 -1188.61 1188.61
25900 -477.043 477.043
26000 264.64 -264.64
26100 1016.13 -1016.13
26200 1759.12 -1759.12
26300 2477.5 -2477.5
26400 3157.41 -3157.41
26500 3787.35 -3787.35
26600 4358.27 -4358.27
26700 4863.47 -4863.47
26800 5298.46 -5298.46
26900 5660.83 -5660.83
27000 5950.09 -5950.09
27100 6167.76 -6167.76
27200 6316.85 -6316.85
27300 6401.08 -6401.08
27400 6425.28 -6425.28
27500 6395.82 -6395.82
27600 6319.98 -6319.98
27700 6205.73 -6205.73
27800 6061.56 -6061.56
27900 5896.28 -5896.28
28000 5718.92 -5718.92
28100 5538.15 -5538.15
28200 5362.15 -5362.15
28300 5198.45 -5198.45
28400 5053.73 -5053.73
28500 4933.45 -4933.45
28600 4842.19 -4842.19
28700 4783.59 -4783.59
28800 4760.29 -4760.29
28900 4773.98 -4773.98
29000 4825.5 -4825.5
29100 4914.92 -4914.92
29200 5041.67 -5041.67
29300 5204.57 -5204.57
29400 5401.92 -5401.92
29500 5631.56 -5631.56
29600 5890.89 -5890.89
29700 6176.85 -6176.85
29800 6486.1 -6486.1
29900 6815.03 -6815.03
30000 7159.82 -7159.82
30100 7516.53 -7516.53
30200 7881.16 -7881.16
30300 8249.78 -8249.78
30400 8618.56 -8618.56
30500 8983.83 -8983.83
30600 9342.24 -9342.24
30700 9690.84 -9690.84
30800 10026.7 -10026.7
30900 10347.1 -10347.1
31000 10649.7 -10649.7
31100 10932.2 -10932.2
31200 11192.8 -11192.8
31300 11430 -11430
31400 11642.5 -11642.5
31500 11829.4 -11829.4
31600 11990.1 -11990.1
31700 12124.4 -12124.4
31800 12232.5 -12232.5
31900 12314.8 -12314.8
32000 12372.2 -12372.2
32100 12405.8 -12405.8
32200 12417.1 -12417.1
32300 12407.8 -12407.8
32400 12379.8 -12379.8
32500 12335.3 -12335.3
32600 12276.3 -12276.3
32700 12205.1 -12205.1
32800 12123.6 -12123.6
32900 12033.9 -12033.9
33000 11937.8 -11937.8
33100 11836.8 -11836.8
33200 11732.5 -11732.5
33300 11626.1 -11626.1
33400 11518.7 -11518.7
33500 11411.3 -11411.3
33600 11304.6 -11304.6
33700 11199.5 -11199.5
33800 11096.7 -11096.7
33900 10997.4 -10997.4
34000 10902.7 -10902.7
34100 10813.9 -10813.9
34200 10732.8 -10732.8
34300 10660.8 -10660.8
34400 10599.8 -10599.8
34500 10551.1 -10551.1
34600 10516 -10516
34700 10495.4 -10495.4
34800 10489.7 -10489.7
34900 10498.7 -10498.7
35000 10521.5 -10521.5
35100 10557 -10557
35200 10603.3 -10603.3
35300 10658.4 -10658.4
35400 10720 -10720
35500 10785.6 -10785.6
35600 10852.9 -10852.9
35700 10920.1 -10920.1
35800 10985.4 -10985.4
35900 11048.2 -11048.2
36000 11108.2 -11108.2
36100 11165.9 -11165.9
36200 11222.4 -11222.4
36300 11279.6 -11279.6
36400 11339.6 -11339.6
36500 11404.8 -11404.8
36600 11477.7 -11477.7
36700 11560.4 -11560.4
36800 11654.3 -11654.3
36900 11760.2 -11760.2
37000 11877.9 -11877.9
37100 12006.1 -12006.1
37200 12142.6 -12142.6
37300 12283.8 -12283.8
37400 12425.7 -12425.7
37500 12563.9 -12563.9
37600 12693.7 -12693.7
37700 12811.1 -12811.1
37800 12912.3 -12912.3
37900 12994.7 -12994.7
38000 13056.5 -13056.5
38100 13097.3 -13097.3
38200 13117.4 -13117.4
38300 13118.4 -13118.4
38400 13102.5 -13102.5
38500 13072.5 -13072.5
38600 13031.5 -13031.5
38700 12982.9 -12982.9
38800 12929.7 -12929.7
38900 12874.8 -12874.8
39000 12820.5 -12820.5
39100 12768.6 -12768.6
39200 12720.5 -12720.5
39300 12676.9 -12676.9
39400 12638.1 -12638.1
39500 12603.7 -12603.7
39600 12573.4 -12573.4
39700 12546.5 -12546.5
39800 12522 -12522
39900 12498.9 -12498.9
40000 12476.1 -12476.1
40100 12452.6 -12452.6
40200 12427.4 -12427.4
40300 12399.6 -12399.6
40400 12368.6 -12368.6
40500 12333.9 -12333.9
40600 12295.2 -12295.2
40700 12252 -12252
40800 12203.8 -12203.8
40900 12150 -12150
41000 12089.5 -12089.5
41100 12021 -12021
41200 11942.1 -11942.1
41300 11850.3 -11850.3
41400 11741.8 -11741.8
41500 11611.1 -11611.1
41600 11451.4 -11451.4
41700 11253.9 -11253.9
41800 11007.5 -11007.5
41900 10698.9 -10698.9
42000 10311 -10311
42100 9823.22 -9823.22
42200 9202.13 -9202.13
42300 8413.01 -8413.01
42400 7408.59 -7408.59
42500 6130.52 -6130.52
42600 4508.51 -4508.51
42700 2461.67 -2461.67
42800 -93.5346 93.5344
42900 -3252.9 3252.9
43000 -7087.24 7087.24
43100 -11646.6 11646.6
43200 -16948.5 16948.5
43300 -22983.6 22983.6
43400 -29739.7 29739.7
43500 -37222.8 37222.8
43600 -45479.6 45479.6
43700 -54524.1 54524.1
43800 -64305.1 64305.1
43900 -74616 74616
44000 -85098.6 85098.6
44100 -95287.4 95287.4
44200 -104721 104721
44300 -113011 113011
44400 -119901 119901
44500 -125281 125281
44600 -129097 129097
44700 -131360 131360
44800 -132115 132115
44900 -131483 131483
45000 -129661 129661
45100 -126924 126924
45200 -123560 123560
45300 -119817 119817
45400 -115861 115861
45500 -111786 111786
45600 -107677 107677
45700 -103650 103650
45800 -99890.9 99890.9
45900 -96570.2 96570.2
46000 -93790.1 93790.1
46100 -91581.5 91581.5
46200 -89904.3 89904.3
46300 -88666.8 88666.8
46400 -87769.1 87769.1
46500 -87105.8 87105.8
46600 -86575.7 86575.7
46700 -86091.2 86091.2
46800 -85569.9 85569.9
46900 -84950.4 84950.4
47000 -84163.5 84163.5
47100 -83183.1 83183.1
47200 -81942.6 81942.6
47300 -80428.5 80428.5
47400 -78605.6 78605.6
47500 -76474 76474
47600 -74042.9 74042.9
47700 -71331.9 71331.9
47800 -68378.8 68378.8
47900 -65224.1 65224.1
48000 -61919.9 61919.9
48100 -58500.1 58500.1
48200 -55025.5 55025.5
48300 -51545.2 51545.2
48400 -48108.3 48108.3
48500 -44755 44755
48600 -41531.1 41531.1
48700 -38459.9 38459.9
48800 -35577.2 35577.2
48900 -32907.4 32907.4
49000 -30467.2 30467.2
49100 -28260.4 28260.4
49200 -26280.5 26280.5
49300 -24536.4 24536.4
49400 -23017.6 23017.6
49500 -21700.8 21700.8
49600 -20566 20566
49700 -19585.2 19585.2
49800 -18739.7 18739.7
49900 -17995.3 17995.3
50000 -17322.7 17322.7
50100 -16705 16705
50200 -16117 16117
50300 -15550.5 15550.5
50400 -14993.8 14993.8
50500 -14437.1 14437.1
50600 -13878.2 13878.2
50700 -13315.5 13315.5
50800 -12754.6 12754.6
50900 -12190.1 12190.1
51000 -11629.9 11629.9
51100 -11078.2 11078.2
51200 -10537.4 10537.4
51300 -10013.7 10013.7
51400 -9503.54 9503.53
51500 -9002.39 9002.39
51600 -8517.65 8517.65
51700 -8038.55 8038.55
51800 -7566.8 7566.8
51900 -7099.8 7099.8
52000 -6640.11 6640.11
52100 -6178.38 6178.38
52200 -5718.68 5718.68
52300 -5261.06 5261.06
52400 -4806.46 4806.45
52500 -4356.66 4356.66
52600 -3912.87 3912.87
52700 -3475.53 3475.53
52800 -3044.99 3044.99
52900 -2622.59 2622.59
53000 -2209.94 2209.94
53100 -1807.98 1807.98
53200 -1422 1421.99
53300 -1044.37 1044.37
53400 -679.041 679.037
53500 -326.279 326.275
53600 12.9907 -12.9942
53700 341.245 -341.249
53800 654.677 -654.68
53900 956.141 -956.144
54000 1248.12 -1248.12
54100 1531.44 -1531.44
54200 1814.45 -1814.46
54300 2100.34 -2100.34
54400 2394.8 -2394.8
54500 2703.25 -2703.26
54600 3031.19 -3031.19
54700 3383.79 -3383.79
54800 3763 -3763.01
54900 4174.65 -4174.65
55000 4614.95 -4614.96
55100 5079.13 -5079.13
55200 5559.48 -5559.49
55300 6045.32 -6045.33
55400 6528.92 -6528.92
55500 6989.22 -6989.23
55600 7417.73 -7417.73
55700 7804.41 -7804.41
55800 8135.23 -8135.23
55900 8404.86 -8404.86
56000 8608.81 -8608.82
56100 8745.35 -8745.35
56200 8815.39 -8815.39
56300 8822.37 -8822.37
56400 8767.9 -8767.9
56500 8667.99 -8667.99
56600 8527.65 -8527.65
56700 8356.51 -8356.51
56800 8164.48 -8164.48
56900 7961.11 -7961.11
57000 7755.56 -7755.55
57100 7555.44 -7555.44
57200 7365.72 -7365.72
