step strain stress33
10600 0.0106 454975036.255164
10700 0.0107 458376712.302458
10800 0.0108 462135134.357029
10900 0.0109 466299957.544507
11000 0.011 470899110.205399
11100 0.0111 475927551.081986
11200 0.0112 481359949.800454
11300 0.0113 487150612.147629
11400 0.0114 493203444.60639
11500 0.0115 499344060.500763
11600 0.0116 505349476.444547
11700 0.0117 511035690.189575
11800 0.0118 516324827.133003
11900 0.0119 521230639.376516
12000 0.012 525795508.547319
12100 0.0121 530044910.192681
12200 0.0122 533975287.68571
12300 0.0123 537564960.259954
12400 0.0124 540809873.832599
12500 0.0125 543764002.263843
12600 0.0126 546537543.920394
12700 0.0127 549258441.738539
12800 0.0128 552059552.337314
12900 0.0129 555095336.805604
13000 0.013 558515720.578492
13100 0.0131 562388019.330665
13200 0.0132 566663870.757376
13300 0.0133 571245547.3766
13400 0.0134 576076661.787768
13500 0.0135 581168252.946669
13600 0.0136 586561754.680674
13700 0.0137 592270411.7443
13800 0.0138 598226355.45544
13900 0.0139 604271024.587834
14000 0.014 610214664.798969
14100 0.0141 615908320.590363
14200 0.0142 621244365.817137
14300 0.0143 626110173.185617
14400 0.0144 630400733.00083
14500 0.0145 634103378.076294
14600 0.0146 637343709.421625
14700 0.0147 640320795.378183
14800 0.0148 643193765.008506
14900 0.0149 646026492.532701
15000 0.015 648826443.276043
15100 0.0151 651629512.136018
15200 0.0152 654549755.335193
15300 0.0153 657748528.768213
15400 0.0154 661361888.067257
15500 0.0155 665467411.281103
15600 0.0156 670104595.12122
15700 0.0157 675283748.46004
15800 0.0158 680952035.447959
15900 0.0159 686964659.015561
16000 0.016 693106315.131314
16100 0.0161 699149973.781117
16200 0.0162 704923608.14755
16300 0.0163 710359283.552539
16400 0.0164 715481657.518033
16500 0.0165 720324898.795501
16600 0.0166 724861156.674981
16700 0.0167 729027995.559806
16800 0.0168 732809000.31275
16900 0.0169 736250707.232056
17000 0.017 739408814.859863
17100 0.0171 742325610.96172
17200 0.0172 745075841.855173
17300 0.0173 747804680.430188
17400 0.0174 750697874.248805
17500 0.0175 753914104.072366
17600 0.0176 757534400.506896
17700 0.0177 761553853.057619
17800 0.0178 765917665.264329
17900 0.0179 770576231.262114
18000 0.018 775509856.815069
18100 0.0181 780708395.818928
18200 0.0182 786149031.97559
18300 0.0183 791797661.823676
18400 0.0184 797601029.951029
18500 0.0185 803454860.815993
18600 0.0186 809195872.750631
18700 0.0187 814648514.402476
18800 0.0188 819686060.008526
18900 0.0189 824259057.639354
19000 0.019 828392622.661901
19100 0.0191 832161887.152579
19200 0.0192 835641175.398563
19300 0.0193 838858636.224509
19400 0.0194 841812991.678266
19500 0.0195 844543056.874689
19600 0.0196 847168726.650058
19700 0.0197 849860667.323519
19800 0.0198 852785800.715566
19900 0.0199 856085576.670251
20000 0.02 859878963.080547
20100 0.0201 864246700.991551
20200 0.0202 869185082.864971
20300 0.0203 874571764.312717
20400 0.0204 880203555.530627
20500 0.0205 885904675.13991
20600 0.0206 891609149.204134
20700 0.0207 897326226.958487
20800 0.0208 903032948.34742
20900 0.0209 908624964.369148
21000 0.021 913963930.064784
21100 0.0211 918932512.599804
21200 0.0212 923439043.26898
21300 0.0213 927419387.875215
21400 0.0214 930873567.13795
21500 0.0215 933892896.558662
21600 0.0216 936641744.307107
21700 0.0217 939321506.628736
21800 0.0218 942133453.061197
21900 0.0219 945218091.07031
22000 0.022 948595399.354303
22100 0.0221 952185711.755797
22200 0.0222 955918695.591693
22300 0.0223 959823303.789456
22400 0.0224 964010317.786732
22500 0.0225 968583727.662733
22600 0.0226 973575165.646455
22700 0.0227 978939917.866332
22800 0.0228 984584154.749453
22900 0.0229 990382930.631764
23000 0.023 996183139.988115
23100 0.0231 1001819440.67397
23200 0.0232 1007161736.45232
23300 0.0233 1012160965.72042
23400 0.0234 1016840481.12621
23500 0.0235 1021238323.17176
23600 0.0236 1025361262.19851
23700 0.0237 1029184225.10436
23800 0.0238 1032675481.61496
23900 0.0239 1035828982.3095
24000 0.024 1038699329.23377
24100 0.0241 1041412614.05236
24200 0.0242 1044129067.77139
24300 0.0243 1046993836.07943
24400 0.0244 1050127860.30522
24500 0.0245 1053637953.28741
24600 0.0246 1057594543.55723
24700 0.0247 1062000019.46915
24800 0.0248 1066807348.54894
24900 0.0249 1071968072.61515
25000 0.025 1077438125.04039
25100 0.0251 1083145013.31913
25200 0.0252 1088981327.01752
25300 0.0253 1094829836.96404
25400 0.0254 1100567870.37214
25500 0.0255 1106052697.07748
25600 0.0256 1111141813.25518
25700 0.0257 1115746887.94648
25800 0.0258 1119860766.34925
25900 0.0259 1123537376.99998
26000 0.026 1126863659.12675
26100 0.0261 1129945758.85299
26200 0.0262 1132892329.7696
26300 0.0263 1135790630.91567
26400 0.0264 1138700481.07225
26500 0.0265 1141677011.00284
26600 0.0266 1144798370.53456
26700 0.0267 1148166637.23297
26800 0.0268 1151876413.05849
26900 0.0269 1155982820.90758
27000 0.027 1160503260.68324
27100 0.0271 1165435167.8287
27200 0.0272 1170738454.8444
27300 0.0273 1176292689.7626
27400 0.0274 1181911810.01316
27500 0.0275 1187437629.72523
27600 0.0276 1192808231.10168
27700 0.0277 1198021372.29889
27800 0.0278 1203064092.17593
27900 0.0279 1207907969.2098
28000 0.028 1212536547.83829
28100 0.0281 1216924651.67841
28200 0.0282 1221004159.49879
28300 0.0283 1224699439.16085
28400 0.0284 1227999866.08655
28500 0.0285 1230973541.67288
28600 0.0286 1233729856.92901
28700 0.0287 1236410037.08207
28800 0.0288 1239197910.10387
28900 0.0289 1242275088.24728
29000 0.029 1245734614.95286
29100 0.0291 1249557681.14492
29200 0.0292 1253685961.8769
29300 0.0293 1258099618.01027
29400 0.0294 1262820066.11695
29500 0.0295 1267861262.90705
29600 0.0296 1273199141.6327
29700 0.0297 1278779051.81391
29800 0.0298 1284524089.88522
29900 0.0299 1290316986.88408
30000 0.03 1295984898.82265
30100 0.0301 1301335217.0205
30200 0.0302 1306229487.3425
30300 0.0303 1310624259.27597
30400 0.0304 1314549014.15215
30500 0.0305 1318071874.55546
30600 0.0306 1321290937.11926
30700 0.0307 1324318148.35499
30800 0.0308 1327236431.92306
30900 0.0309 1330086262.51659
31000 0.031 1332915563.59506
31100 0.0311 1335825979.69182
31200 0.0312 1338951959.84043
31300 0.0313 1342413548.41781
31400 0.0314 1346300573.587
31500 0.0315 1350661175.18674
31600 0.0316 1355462902.62755
31700 0.0317 1360581658.11242
31800 0.0318 1365867223.60231
31900 0.0319 1371219236.40779
32000 0.032 1376588749.49142
32100 0.0321 1381934859.87822
32200 0.0322 1387213441.4776
32300 0.0323 1392389439.29439
32400 0.0324 1397418690.58509
32500 0.0325 1402216245.07907
32600 0.0326 1406670636.94676
32700 0.0327 1410700579.64664
32800 0.0328 1414297914.30793
32900 0.0329 1417533484.78485
33000 0.033 1420540370.31817
33100 0.0331 1423477837.0391
33200 0.0332 1426475162.86333
33300 0.0333 1429587247.13135
33400 0.0334 1432804738.62099
33500 0.0335 1436114818.11704
33600 0.0336 1439556912.32543
33700 0.0337 1443221606.59512
33800 0.0338 1447200407.57552
33900 0.0339 1451547371.84357
34000 0.034 1456289246.94469
34100 0.0341 1461439211.03691
34200 0.0342 1466956451.16427
34300 0.0343 1472691321.18683
34400 0.0344 1478413765.31107
34500 0.0345 1483923447.72726
34600 0.0346 1489123844.87542
34700 0.0347 1493996543.63226
34800 0.0348 1498545528.59159
34900 0.0349 1502781428.44713
35000 0.035 1506717865.31307
35100 0.0351 1510348344.40001
35200 0.0352 1513647589.0948
35300 0.0353 1516625376.12371
35400 0.0354 1519368833.1543
35500 0.0355 1522017136.7668
35600 0.0356 1524714583.49404
35700 0.0357 1527603720.89966
35800 0.0358 1530830262.86517
35900 0.0359 1534504563.27958
36000 0.036 1538645658.00342
36100 0.0361 1543179451.56563
36200 0.0362 1548000161.43963
36300 0.0363 1553031566.76606
36400 0.0364 1558234156.08735
36500 0.0365 1563567682.70605
36600 0.0366 1568960129.74411
36700 0.0367 1574316555.72747
36800 0.0368 1579547787.85592
36900 0.0369 1584577336.83103
37000 0.037 1589327729.15101
37100 0.0371 1593728556.54645
37200 0.0372 1597753566.20915
37300 0.0373 1601437861.08133
37400 0.0374 1604850835.41318
37500 0.0375 1608063924.48903
37600 0.0376 1611145949.04827
37700 0.0377 1614165505.9483
37800 0.0378 1617181166.49423
37900 0.0379 1620240622.5516
38000 0.038 1623398713.92577
38100 0.0381 1626724814.14353
38200 0.0382 1630288084.75235
38300 0.0383 1634148662.9669
38400 0.0384 1638359760.06241
38500 0.0385 1642949165.53405
38600 0.0386 1647883458.1084
38700 0.0387 1653064576.95818
38800 0.0388 1658372849.04403
38900 0.0389 1663708564.03218
39000 0.039 1668998359.52166
39100 0.0391 1674184949.98453
39200 0.0392 1679218042.92614
39300 0.0393 1684040664.67532
39400 0.0394 1688580563.89916
39500 0.0395 1692768210.35116
39600 0.0396 1696566315.88901
39700 0.0397 1699976045.03883
39800 0.0398 1703027858.64312
39900 0.0399 1705791957.61943
40000 0.04 1708399742.13315
40100 0.0401 1711030585.848
40200 0.0402 1713856304.57797
40300 0.0403 1716988458.00912
40400 0.0404 1720466711.58215
40500 0.0405 1724284352.91937
40600 0.0406 1728423200.53802
40700 0.0407 1732869722.35966
40800 0.0408 1737603890.18842
40900 0.0409 1742585010.15238
41000 0.041 1747759918.54652
41100 0.0411 1753076379.55465
41200 0.0412 1758468294.7355
41300 0.0413 1763827816.44152
41400 0.0414 1769011617.34741
41500 0.0415 1773883980.92891
41600 0.0416 1778353890.01607
41700 0.0417 1782390103.02638
41800 0.0418 1786031002.09919
41900 0.0419 1789381121.38426
42000 0.042 1792569182.71324
42100 0.0421 1795689358.38195
42200 0.0422 1798780707.58874
