step strain stress33
8000 0.008 210267378.577232
8100 0.0081 214055706.394835
8200 0.0082 217901193.823569
8300 0.0083 221643755.69025
8400 0.0084 225171335.722769
8500 0.0085 228458642.458141
8600 0.0086 231539141.901426
8700 0.0087 234426491.716556
8800 0.0088 237067237.732213
8900 0.0089 239380585.091239
9000 0.009 241342994.399596
9100 0.0091 243026437.744947
9200 0.0092 244562042.479372
9300 0.0093 246085839.955459
9400 0.0094 247717477.339125
9500 0.0095 249557359.887828
9600 0.0096 251673963.556409
9700 0.0097 254094371.02815
9800 0.0098 256814955.59983
9900 0.0099 259813860.06762
10000 0.01 263053116.913567
10100 0.0101 266490473.471427
10200 0.0102 270099428.78163
10300 0.0103 273852431.631093
10400 0.0104 277661561.462313
10500 0.0105 281355277.037957
10600 0.0106 284749352.589385
10700 0.0107 287748636.723771
10800 0.0108 290372789.871753
10900 0.0109 292695882.534541
11000 0.011 294780661.120293
11100 0.0111 296663786.702474
11200 0.0112 298376922.940245
11300 0.0113 299970093.936744
11400 0.0114 301524755.553216
11500 0.0115 303152208.74172
11600 0.0116 304974387.371205
11700 0.0117 307097179.545325
11800 0.0118 309591841.699623
11900 0.0119 312486789.35087
12000 0.012 315760532.913072
12100 0.0121 319333761.480553
12200 0.0122 323076014.038241
12300 0.0123 326843095.82412
12400 0.0124 330530576.987262
12500 0.0125 334095006.272608
12600 0.0126 337513814.98132
12700 0.0127 340726334.895814
12800 0.0128 343631270.956292
12900 0.0129 346149287.651797
13000 0.013 348278806.229375
13100 0.0131 350091923.541395
13200 0.0132 351696566.803682
13300 0.0133 353211679.545889
13400 0.0134 354757522.453032
13500 0.0135 356442778.613355
13600 0.0136 358351969.699326
13700 0.0137 360540996.687535
13800 0.0138 363032877.688028
13900 0.0139 365816516.748198
14000 0.014 368865947.62374
14100 0.0141 372168158.185304
14200 0.0142 375715733.49031
14300 0.0143 379457060.130105
14400 0.0144 383261830.792678
14500 0.0145 386953524.520638
14600 0.0146 390386189.471349
14700 0.0147 393498803.225799
14800 0.0148 396309608.568353
14900 0.0149 398866390.090463
15000 0.015 401198094.862301
15100 0.0151 403305588.452134
15200 0.0152 405192480.971644
15300 0.0153 406900720.498909
15400 0.0154 408517293.260345
15500 0.0155 410152626.552379
15600 0.0156 411914728.697413
15700 0.0157 413895744.529584
15800 0.0158 416169668.930402
15900 0.0159 418787607.249834
16000 0.016 421757859.15474
16100 0.0161 425022883.354769
16200 0.0162 428471648.615141
16300 0.0163 431999465.765267
16400 0.0164 435559229.034653
16500 0.0165 439141168.346517
16600 0.0166 442704428.896286
16700 0.0167 446145444.898619
16800 0.0168 449335389.364156
16900 0.0169 452176511.796775
17000 0.017 454630774.550121
17100 0.0171 456726409.671766
17200 0.0172 458552230.465682
17300 0.0173 460227370.21813
17400 0.0174 461856330.63589
17500 0.0175 463510461.145481
17600 0.0176 465247779.909934
17700 0.0177 467134067.665851
17800 0.0178 469239131.429254
17900 0.0179 471624946.353766
18000 0.018 474341754.943659
18100 0.0181 477417416.459231
18200 0.0182 480830994.883829
18300 0.0183 484495858.621939
18400 0.0184 488277309.872022
18500 0.0185 492032303.317141
18600 0.0186 495639511.958004
18700 0.0187 499010006.257717
18800 0.0188 502093416.004764
18900 0.0189 504884597.540565
19000 0.019 507411494.183374
19100 0.0191 509696305.675205
19200 0.0192 511727886.153595
19300 0.0193 513492560.359776
19400 0.0194 515043270.961332
19500 0.0195 516524434.310939
19600 0.0196 518113918.420994
19700 0.0197 519945695.717303
19800 0.0198 522089160.347821
19900 0.0199 524571224.790365
20000 0.02 527383063.687031
20100 0.0201 530471776.644034
20200 0.0202 533759472.94143
20300 0.0203 537183405.67828
20400 0.0204 540706830.974728
20500 0.0205 544291538.969165
20600 0.0206 547873129.142792
20700 0.0207 551359164.691003
20800 0.0208 554636394.024013
20900 0.0209 557591010.601393
21000 0.021 560157881.588573
21100 0.0211 562368434.126262
21200 0.0212 564336951.030292
21300 0.0213 566184589.854971
21400 0.0214 567977624.544498
21500 0.0215 569739137.798851
21600 0.0216 571502994.856181
21700 0.0217 573338615.994415
21800 0.0218 575327606.753622
21900 0.0219 577535831.323684
22000 0.022 580015840.00225
22100 0.0221 582816513.528621
22200 0.0222 585959735.956798
22300 0.0223 589397247.731653
22400 0.0224 593004574.688393
22500 0.0225 596631170.237655
22600 0.0226 600159952.608002
22700 0.0227 603529440.508197
22800 0.0228 606723600.982296
22900 0.0229 609749274.49973
23000 0.023 612599383.642101
23100 0.0231 615218118.20831
23200 0.0232 617519281.2363
23300 0.0233 619465600.24138
23400 0.0234 621129103.358259
23500 0.0235 622662304.433824
23600 0.0236 624219408.67523
23700 0.0237 625915372.580186
23800 0.0238 627834166.114894
23900 0.0239 630031974.863845
24000 0.024 632522288.623294
24100 0.0241 635282055.752556
24200 0.0242 638284921.949059
24300 0.0243 641517724.270588
24400 0.0244 644960358.856909
24500 0.0245 648560852.80132
24600 0.0246 652232930.690353
24700 0.0247 655864723.91278
24800 0.0248 659325843.377326
24900 0.0249 662487438.817042
25000 0.025 665266017.869995
25100 0.0251 667663574.584026
25200 0.0252 669762707.526835
25300 0.0253 671673514.775207
25400 0.0254 673477245.482699
25500 0.0255 675212893.535382
25600 0.0256 676906182.249032
25700 0.0257 678604544.934592
25800 0.0258 680392801.911145
25900 0.0259 682387718.358383
26000 0.026 684708844.578002
26100 0.0261 687425826.622912
26200 0.0262 690515214.503434
26300 0.0263 693872222.322825
26400 0.0264 697369892.776845
26500 0.0265 700905245.403516
26600 0.0266 704401066.402706
26700 0.0267 707795346.741165
26800 0.0268 711046579.426165
26900 0.0269 714133664.92155
27000 0.027 717031598.04596
27100 0.0271 719692439.035633
27200 0.0272 722063789.373256
27300 0.0273 724127783.721921
27400 0.0274 725925446.571296
27500 0.0275 727557879.792446
27600 0.0276 729167592.771623
27700 0.0277 730895672.103367
27800 0.0278 732829701.381407
27900 0.0279 734985381.549553
28000 0.028 737340793.619597
28100 0.0281 739885529.689571
28200 0.0282 742637611.319631
28300 0.0283 745624494.302925
28400 0.0284 748853720.247728
28500 0.0285 752291087.318109
28600 0.0286 755852708.807617
28700 0.0287 759416449.927491
28800 0.0288 762851225.060754
28900 0.0289 766051152.945985
29000 0.029 768960692.81288
29100 0.0291 771582081.017894
29200 0.0292 773959245.072536
29300 0.0293 776143788.507319
29400 0.0294 778165748.496348
29500 0.0295 780031465.317938
29600 0.0296 781750577.348577
29700 0.0297 783373698.601358
29800 0.0298 785012466.754807
29900 0.0299 786817556.598091
30000 0.03 788919821.450471
30100 0.0301 791378810.326171
30200 0.0302 794179365.008347
30300 0.0303 797264057.783025
30400 0.0304 800558463.019516
30500 0.0305 803978825.147765
30600 0.0306 807445261.277869
30700 0.0307 810900173.63107
30800 0.0308 814302759.033922
30900 0.0309 817599473.903942
31000 0.031 820709170.156361
31100 0.0311 823542636.483638
31200 0.0312 826034801.166818
31300 0.0313 828169167.331822
31400 0.0314 829994934.324931
31500 0.0315 831627874.835749
31600 0.0316 833215133.282588
31700 0.0317 834877880.789407
31800 0.0318 836680685.05971
31900 0.0319 838649392.944995
32000 0.032 840805602.137637
32100 0.0321 843180365.590642
32200 0.0322 845807444.80852
32300 0.0323 848713299.239736
32400 0.0324 851903457.781346
32500 0.0325 855338025.409236
32600 0.0326 858911610.785048
32700 0.0327 862468246.94669
32800 0.0328 865858368.176042
32900 0.0329 868999705.975664
33000 0.033 871890091.09636
33100 0.0331 874564543.444731
33200 0.0332 877044698.368881
33300 0.0333 879326801.626624
33400 0.0334 881402844.431084
33500 0.0335 883282784.852775
33600 0.0336 885007750.02968
33700 0.0337 886658639.820219
33800 0.0338 888348745.798033
33900 0.0339 890191931.633558
34000 0.034 892270538.908369
34100 0.0341 894629412.094702
34200 0.0342 897280547.739941
34300 0.0343 900192942.933122
34400 0.0344 903288747.653397
34500 0.0345 906480644.386562
34600 0.0346 909724894.41575
34700 0.0347 913024782.915764
34800 0.0348 916374144.574844
34900 0.0349 919704721.687166
35000 0.035 922892988.999837
35100 0.0351 925814913.284441
35200 0.0352 928401277.824349
35300 0.0353 930661624.422106
